case_id,event_id,order,activity,ingredient
102,0,0.0,use,limeade
102,1,0.0,use,lime
102,2,0.0,use,juice
102,3,0.0,use,tequila
102,4,0.0,use,sec
102,5,20.0,garnish,lime
102,6,20.0,garnish,wedge
102,7,20.0,garnish,marnier
264,8,0.0,add,orgeat
264,9,0.3333333333333333,add,rum
264,10,0.5,add,pineapple
264,11,0.5,add,juice
264,12,0.6666666666666666,float,bacardi
264,13,0.6666666666666666,float,rum
264,14,0.6666666666666666,float,rum
272,15,0.0,mix,ouzo
272,16,0.0,pour,ouzo
272,17,0.0,mix,juice
272,18,0.0,pour,juice
272,19,0.0,mix,ice
272,20,0.0,pour,ice
272,21,2.5,garnish,slice
272,22,2.5,get,slice
295,23,0.0,pour,wine
295,24,0.0,serve,wine
295,25,0.0,pour,vodka
295,26,0.0,serve,vodka
295,27,0.0,pour,schnapps
295,28,0.0,serve,schnapps
295,29,0.0,pour,peach
295,30,0.0,serve,peach
295,31,3.3333333333333335,serve,juice
295,32,3.3333333333333335,add,juice
295,33,3.3333333333333335,serve,lemonade
295,34,3.3333333333333335,add,lemonade
304,35,0.0,rinse,vermouth
304,36,1.25,add,vodka
304,37,1.25,fill,vodka
304,38,1.25,add,gin
304,39,1.25,fill,gin
304,40,1.25,add,lillet
304,41,1.25,fill,lillet
304,42,1.25,add,blanc
304,43,1.25,fill,blanc
416,44,7.142857142857143,brew,tea
416,45,7.142857142857143,chill,tea
416,46,14.285714285714286,stir,sugar
416,47,14.285714285714286,cool,sugar
416,48,21.42857142857143,blend,rum
416,49,21.42857142857143,blend,tequila
416,50,21.42857142857143,blend,marnier
416,51,35.714285714285715,fill,tea
416,52,42.85714285714286,garnish,cherry
509,53,0.0,take,beer
509,54,0.0,keep,beer
509,55,0.0,take,lemon
509,56,0.0,keep,lemon
509,57,0.0,take,ice
509,58,0.0,keep,ice
509,59,2.0,come,beer
509,60,2.0,taste,beer
509,61,2.0,change,beer
509,62,2.0,come,beer
509,63,2.0,taste,beer
509,64,2.0,change,beer
509,65,2.0,come,beer
509,66,2.0,taste,beer
509,67,2.0,change,beer
570,68,0.0,place,bitter
570,69,0.0,combine,bitter
570,70,0.0,use,bitter
570,71,0.0,place,vodka
570,72,0.0,combine,vodka
570,73,0.0,use,vodka
570,74,1.6666666666666667,add,beer
570,75,1.6666666666666667,fill,beer
570,76,1.6666666666666667,stir,beer
589,77,0.0,shake,bourbon
589,78,0.0,shake,marnier
589,79,0.0,shake,vodka
589,80,2.5,pour,pineapple
589,81,2.5,add,pineapple
589,82,2.5,fill,pineapple
589,83,2.5,pour,juice
589,84,2.5,add,juice
589,85,2.5,fill,juice
590,86,0.0,combine,ice
705,87,2.5,add,ale
705,88,2.5,fill,ale
705,89,2.5,add,ale
705,90,2.5,add,rum
705,91,2.5,fill,rum
705,92,2.5,add,rum
705,93,5.0,serve,cherry
705,94,5.0,garnish,cherry
705,95,5.0,pour,cherry
705,96,5.0,serve,cinnamon
705,97,5.0,garnish,cinnamon
705,98,5.0,pour,cinnamon
705,99,5.0,serve,stick
705,100,5.0,garnish,stick
705,101,5.0,pour,stick
705,102,12.5,freeze,cinnamon
705,103,12.5,combine,cinnamon
705,104,12.5,freeze,stick
705,105,12.5,combine,stick
720,106,0.0,divide,pineapple
720,107,0.0,divide,juice
720,108,0.0,divide,champagne
720,109,0.0,divide,champagne
720,110,2.5,garnish,pineapple
912,111,0.0,add,jalapeno
912,112,0.0,add,vodka
912,113,181.25,arrive,beer
912,114,181.25,pour,beer
912,115,181.25,arrive,ice
912,116,181.25,pour,ice
912,117,362.5,float,vodka
912,118,362.5,infuse,vodka
992,119,0.0,use,vanilla
992,120,0.0,use,bean
992,121,411.42857142857144,use,coffee
992,122,411.42857142857144,let,coffee
992,123,822.8571428571429,pour,coffee
992,124,822.8571428571429,pour,coffee
992,125,1234.2857142857142,use,coffee
992,126,1234.2857142857142,use,vodka
992,127,1234.2857142857142,use,sugar
992,128,1234.2857142857142,use,molasses
992,129,2468.571428571429,clean,coffee
1090,130,0.0,use,grape
1090,131,0.0,use,juice
1090,132,1.1111111111111112,pour,grape
1090,133,1.1111111111111112,pour,juice
1129,134,0.0,combine,rum
1129,135,0.0,combine,mango
1129,136,0.0,combine,rum
1129,137,1.6666666666666667,add,curacao
1129,138,1.6666666666666667,shake,curacao
1129,139,1.6666666666666667,strain,curacao
1129,140,3.3333333333333335,add,sprite
1129,141,3.3333333333333335,add,lemonade
1383,142,0.0,put,ice
1383,143,0.3333333333333333,add,margarita
1383,144,0.3333333333333333,add,mix
1383,145,0.3333333333333333,add,sec
1383,146,0.3333333333333333,add,tequila
1383,147,1.0,add,lime
1383,148,1.0,add,salt
1383,149,1.0,add,margarita
1383,150,1.3333333333333333,cut,lime
1410,151,1.5,serve,coffee
1463,152,0.0,crushed,candy
1463,153,0.0,crushed,cane
1463,154,0.75,hold,candy
1463,155,0.75,rotate,candy
1463,156,1.125,combine,vodka
1463,157,1.125,combine,menthe
1463,158,1.125,combine,cranberry
1463,159,1.125,combine,juice
1463,160,1.125,combine,ice
1463,161,2.625,garnish,candy
1463,162,2.625,hook,candy
1463,163,2.625,garnish,cane
1463,164,2.625,hook,cane
1496,165,1.4285714285714286,stuff,coffee
1496,166,1.4285714285714286,stuff,bean
1496,167,2.857142857142857,put,sugar
1496,168,2.857142857142857,mouth,sugar
1496,169,2.857142857142857,put,rum
1496,170,2.857142857142857,mouth,rum
1512,171,0.0,use,mix
1512,172,3.3333333333333335,use,mix
1512,173,6.666666666666666,use,mix
1513,174,0.0,mix,mix
1621,175,3.3333333333333335,garnish,lime
1675,176,3.75,garnish,raspberry
1792,177,0.0,fill,ice
1792,178,0.0,add,ice
1792,179,1.0,use,ice
1828,180,1.0,shake,coconut
1828,181,1.0,shake,coconut
1885,182,0.0,shake,rum
1885,183,0.0,fill,rum
1885,184,0.0,shake,amaretto
1885,185,0.0,fill,amaretto
1885,186,0.0,shake,juice
1885,187,0.0,fill,juice
1899,188,1.2,garnish,espresso
1942,189,0.0,pour,juice
1942,190,0.0,add,juice
1942,191,0.6666666666666666,need,mix
1942,192,0.6666666666666666,overpower,mix
1942,193,0.6666666666666666,need,juice
1942,194,0.6666666666666666,overpower,juice
1943,195,0.0,mix,celery
1943,196,0.0,mix,salt
1943,197,0.0,mix,pepper
1943,198,1.6666666666666667,mix,horseradish
1943,199,1.6666666666666667,mix,sauce
1943,200,1.6666666666666667,mix,lime
1943,201,1.6666666666666667,mix,juice
1943,202,3.3333333333333335,combine,tomato
1943,203,3.3333333333333335,stir,tomato
1943,204,3.3333333333333335,combine,juice
1943,205,3.3333333333333335,stir,juice
1943,206,3.3333333333333335,combine,vodka
1943,207,3.3333333333333335,stir,vodka
1943,208,5.0,serve,celery
1943,209,6.666666666666667,prepare,vodka
1943,210,6.666666666666667,mix,vodka
1943,211,8.333333333333334,add,vodka
1943,212,8.333333333333334,serve,vodka
1971,213,3.3333333333333335,garnish,lime
1971,214,3.3333333333333335,garnish,cranberry
1972,215,0.0,start,kahlua
1972,216,0.0,start,amaretto
1972,217,0.0,start,almond
1991,218,0.3333333333333333,fill,juice
1991,219,0.3333333333333333,fill,cranberry
1991,220,0.3333333333333333,fill,juice
1991,221,0.3333333333333333,fill,pineapple
1991,222,0.3333333333333333,fill,juice
